"dname","attrib","img","behavior","target_team","manacost","description","cooldown","dmg_type","target_type","dispellable","bkbpierce","lore","damage","is_innate"
"+0.5s Spiked Carapace Stun Duration","","","","","","","","","","","","","",""
"+0.5s Supernova Stun Duration","","","","","","","","","","","","","",""
"+0.5s Time Walk Backtrack Duration","","","","","","","","","","","","","",""
"+0.5x Arcane Bolt Int Multiplier","","","","","","","","","","","","","",""
"+0.6 Min/Max Chaos Bolt Duration","","","","","","","","","","","","","",""
"+0.6s Shuriken Toss Slow","","","","","","","","","","","","","",""
"+0.6s Spear of Mars Stun","","","","","","","","","","","","","",""
"+0.75s Dismember Duration","","","","","","","","","","","","","",""
"+0.75s Inner Fire Duration","","","","","","","","","","","","","",""
"+0.75s Rebound Stun Duration","","","","","","","","","","","","","",""
"+0.75s Shackleshot Duration","","","","","","","","","","","","","",""
"+0.75s Shockwave Slow Duration","","","","","","","","","","","","","",""
"+0.75s Walrus Punch Stun Duration","","","","","","","","","","","","","",""
"+0.7s Mana Void Stun","","","","","","","","","","","","","",""
"+0.8% Firestorm Burn Damage","","","","","","","","","","","","","",""
"+0.8s Hoof Stomp Duration","","","","","","","","","","","","","",""
"+0.8s Ravage Stun Duration","","","","","","","","","","","","","",""
"+0.8s Reverse Polarity Stun Duration","","","","","","","","","","","","","",""
"+1 Acid Spray Armor Reduction","","","","","","","","","","","","","",""
"+1 Acorn Shot Bounces","","","","","","","","","","","","","",""
"+1 Agility gain/stolen per Essence Shift Stack","","","","","","","","","","","","","",""
"+1 Armor Corruption to Visage and Familiars","","","","","","","","","","","","","",""
"+1 Death Pact Charge","","","","","","","","","","","","","",""
"+1 Familiar","","","","","","","","","","","","","",""
"+1 Forged Spirits","","","","","","","","","","","","","",""
"+1 Geminate Attack","","","","","","","","","","","","","",""
"+1 Heavenly Jump Target","","","","","","","","","","","","","",""
"+1 Lil' Shredder attacks","","","","","","","","","","","","","",""
"+1 Lunar Blessing Damage Per Level","","","","","","","","","","","","","",""
"+1 Mana Regen","","","","","","","","","","","","","",""
"+1 Mirror Image Illusion","","","","","","","","","","","","","",""
"+1 Multishot Wave","","","","","","","","","","","","","",""
"+1 Weave Armor Reduction/Increase","","","","","","","","","","","","","",""
"+1% Healing Ward Heal","","","","","","","","","","","","","",""
"+1% Max Mana Mana Burn","","","","","","","","","","","","","",""
"+1% Noxious Plague Max HP Damage","","","","","","","","","","","","","",""
"+1% Static Field Damage","","","","","","","","","","","","","",""
"+1.0% Feast Lifesteal and Damage","","","","","","","","","","","","","",""
"+1.0s Adaptive Strike Stun Duration","","","","","","","","","","","","","",""
"+1.0s Frostbite Duration","","","","","","","","","","","","","",""
"+1.0s March of the Machines Duration","","","","","","","","","","","","","",""
"+1.0s Rage Duration","","","","","","","","","","","","","",""
"+1.25 Mana Regen","","","","","","","","","","","","","",""
"+1.25s Shadow Dance Duration","","","","","","","","","","","","","",""
"+1.25s Waning Rift Silence Duration","","","","","","","","","","","","","",""
"+1.5 Mana Regen","","","","","","","","","","","","","",""
"+1.5% Arcane Orb Damage","","","","","","","","","","","","","",""
"+1.5% Max HP Regen while inside The Calling","","","","","","","","","","","","","",""
"+1.5% Max Health Sun Ray Damage","","","","","","","","","","","","","",""
"+1.5s Battle Trance Duration","","","","","","","","","","","","","",""
"+1.5s Decrepify Duration","","","","","","","","","","","","","",""
"+1.5s False Promise Duration","","","","","","","","","","","","","",""
"+1.5s Shackles Duration","","","","","","","","","","","","","",""
"+1.5s Shadow Realm Duration","","","","","","","","","","","","","",""
"+1.5s Static Storm Duration","","","","","","","","","","","","","",""
"+1.5s Stone Gaze Duration","","","","","","","","","","","","","",""
"+1.75 Mana Regen","","","","","","","","","","","","","",""
"+1.75 Nether Ward Damage Per Mana","","","","","","","","","","","","","",""
"+10 Agility","","","","","","","","","","","","","",""
"+10 All Stats","","","","","","","","","","","","","",""
"+10 Armor","","","","","","","","","","","","","",""
"+10 Attack Speed","","","","","","","","","","","","","",""
"+10 Brewlings Damage","","","","","","","","","","","","","",""
"+10 Damage","","","","","","","","","","","","","",""
"+10 Eidolon Attack Speed","","","","","","","","","","","","","",""
"+10 Enchanted Creep Armor","","","","","","","","","","","","","",""
"+10 Epicenter Pulses","","","","","","","","","","","","","",""
"+10 Health Regen","","","","","","","","","","","","","",""
"+10 Inner Beast Attack Speed","","","","","","","","","","","","","",""
"+10 Intelligence","","","","","","","","","","","","","",""
"+10 Mana Regen","","","","","","","","","","","","","",""
"+10 Movement Speed","","","","","","","","","","","","","",""
"+10 Phantom Rush Agility","","","","","","","","","","","","","",""
"+10 Scorched Earth Damage","","","","","","","","","","","","","",""
"+10 Soul Rip Damage/Heal","","","","","","","","","","","","","",""
"+10 Strength","","","","","","","","","","","","","",""
"+10 Thunder Strike Damage per Strike","","","","","","","","","","","","","",""
"+10 Upheaval Attack Speed per second on Allies","","","","","","","","","","","","","",""
"+10 Wolves Damage","","","","","","","","","","","","","",""
"+10% Ancient Seal Increased Magic Damage","","","","","","","","","","","","","",""
"+10% Atrophy Aura Attack Damage Reduction/Gain","","","","","","","","","","","","","",""
"+10% Battle Hunger Slow","","","","","","","","","","","","","",""
"+10% Blade Dance Crit Damage","","","","","","","","","","","","","",""
"+10% Chaos Strike Chance","","","","","","","","","","","","","",""
"+10% Conjure Image Damage","","","","","","","","","","","","","",""
"+10% Counterspell Magic Resistance","","","","","","","","","","","","","",""
"+10% Coup de Grace chance","","","","","","","","","","","","","",""
"+10% Defense Matrix Status Resistance","","","","","","","","","","","","","",""
"+10% Empower Damage/Cleave","","","","","","","","","","","","","",""
"+10% Evasion","","","","","","","","","","","","","",""
"+10% Frost Shield Damage Reduction","","","","","","","","","","","","","",""
"+10% Lifesteal","","","","","","","","","","","","","",""
"+10% Magic Resistance","","","","","","","","","","","","","",""
"+10% Mana Drain Slow","","","","","","","","","","","","","",""
"+10% Mana Regen Amp","","","","","","","","","","","","","",""
"+10% Marksmanship Chance","","","","","","","","","","","","","",""
"+10% Mirror Image Damage","","","","","","","","","","","","","",""
"+10% Movement Speed","","","","","","","","","","","","","",""
"+10% Movement Speed during Pulse Nova","","","","","","","","","","","","","",""
"+10% Movement Speed per active Battle Hunger","","","","","","","","","","","","","",""
"+10% Press The Attack Movement Speed","","","","","","","","","","","","","",""
"+10% Rebound Movement Speed Bonus","","","","","","","","","","","","","",""
"+10% Reflection Slow/Damage","","","","","","","","","","","","","",""
"+10% Rot Slow","","","","","","","","","","","","","",""
"+10% Sidekick Lifesteal","","","","","","","","","","","","","",""
"+10% Spell Amplification","","","","","","","","","","","","","",""
"+10% Spell Lifesteal","","","","","","","","","","","","","",""
"+10% Status Resistance","","","","","","","","","","","","","",""
"+10% Stone Gaze Bonus Physical Damage","","","","","","","","","","","","","",""
"+10% Unleash Movement Speed","","","","","","","","","","","","","",""
"+10% Vampiric Spirit Lifesteal","","","","","","","","","","","","","",""
"+10% XP Gain","","","","","","","","","","","","","",""
"+10%/+5% Bulwark Front/Side damage reduction","","","","","","","","","","","","","",""
"+10%/280 Glimpse Distance To Damage/Max","","","","","","","","","","","","","",""
"+10/1% Fiery Soul Per Stack","","","","","","","","","","","","","",""
"+100 Agility","","","","","","","","","","","","","",""
"+100 Attack Range","","","","","","","","","","","","","",""
"+100 Attack Speed","","","","","","","","","","","","","",""
"+100 Base Damage","","","","","","","","","","","","","",""
"+100 Berserker's Call AoE","","","","","","","","","","","","","",""
"+100 Boulder Smash Damage","","","","","","","","","","","","","",""
"+100 Cast Range","","","","","","","","","","","","","",""
"+100 Crystal Nova AoE","","","","","","","","","","","","","",""
"+100 Culling Blade Damage","","","","","","","","","","","","","",""
"+100 Damage","","","","","","","","","","","","","",""
"+100 Dispose Damage","","","","","","","","","","","","","",""
"+100 Frostbite Cast Range","","","","","","","","","","","","","",""
"+100 God's Rebuke Distance","","","","","","","","","","","","","",""
"+100 Gush Damage","","","","","","","","","","","","","",""
"+100 Health","","","","","","","","","","","","","",""
"+100 Hunter In The Night Attack Speed","","","","","","","","","","","","","",""
"+100 Impale Damage","","","","","","","","","","","","","",""
"+100 Magic Missile Cast Range","","","","","","","","","","","","","",""
"+100 Mana","","","","","","","","","","","","","",""
"+100 Movement Speed","","","","","","","","","","","","","",""
"+100 Natural Order Radius","","","","","","","","","","","","","",""
"+100 Primal Spring Max Damage","","","","","","","","","","","","","",""
"+100 Psi Blades Attack and Spill Range","","","","","","","","","","","","","",""
"+100 Rebound Cast/Jump Range","","","","","","","","","","","","","",""
"+100 Scream of Pain Damage","","","","","","","","","","","","","",""
"+100 Spear Of Mars Damage","","","","","","","","","","","","","",""
"+100 Spell AoE","","","","","","","","","","","","","",""
"+100 Splinter Blast Damage","","","","","","","","","","","","","",""
"+100 Teleportation Barrier","","","","","","","","","","","","","",""
"+100 Wheel Radius and Range","","","","","","","","","","","","","",""
"+100 Whirling Axes Damage","","","","","","","","","","","","","",""
"+100% Cleave","","","","","","","","","","","","","",""
"+100% Dual Breath Damage and Range","","","","","","","","","","","","","",""
"+100% Flame Guard DPS","","","","","","","","","","","","","",""
"+100% Lifesteal","","","","","","","","","","","","","",""
"+100% Magic Resistance","","","","","","","","","","","","","",""
"+100% Tidebringer Cleave Damage","","","","","","","","","","","","","",""
"+100/12 Base/Incremental Radius of Epicenter","","","","","","","","","","","","","",""
"+1000 Health","","","","","","","","","","","","","",""
"+1000 Icarus Dive Cast Range","","","","","","","","","","","","","",""
"+1000 Mana","","","","","","","","","","","","","",""
"+1000 Night Vision","","","","","","","","","","","","","",""
"+10s Conjure Image Duration","","","","","","","","","","","","","",""
"+10s Empower Duration","","","","","","","","","","","","","",""
"+10s Phantasm Duration","","","","","","","","","","","","","",""
"+11 Strength","","","","","","","","","","","","","",""
"+11% Manacost/Manaloss Reduction","","","","","","","","","","","","","",""
"+11% Spell Amplification","","","","","","","","","","","","","",""
"+110 Attack Speed","","","","","","","","","","","","","",""
"+110 Jingu Mastery Damage","","","","","","","","","","","","","",""
"+110 Rolling Boulder Damage","","","","","","","","","","","","","",""
"+12 Agility","","","","","","","","","","","","","",""
"+12 All Stats","","","","","","","","","","","","","",""
"+12 All Stats per hero hit with Reverse Polarity","","","","","","","","","","","","","",""
"+12 Armor","","","","","","","","","","","","","",""
"+12 Attack Damage to Tethered Units","","","","","","","","","","","","","",""
"+12 Damage","","","","","","","","","","","","","",""
"+12 Dragon Blood HP Regen/Armor","","","","","","","","","","","","","",""
"+12 Health Regen","","","","","","","","","","","","","",""
"+12 Holy Persuasion Damage","","","","","","","","","","","","","",""
"+12 Incapacitating Bite Attack Bonus","","","","","","","","","","","","","",""
"+12 Intelligence","","","","","","","","","","","","","",""
"+12 Nature's Attendants Wisps","","","","","","","","","","","","","",""
"+12 Strength","","","","","","","","","","","","","",""
"+12% Evasion","","","","","","","","","","","","","",""
"+12% Ink Swell Movement Speed","","","","","","","","","","","","","",""
"+12% Lifesteal","","","","","","","","","","","","","",""
"+12% Magic Resistance","","","","","","","","","","","","","",""
"+12% Spectral Dagger Slow/Bonus","","","","","","","","","","","","","",""
"+12% Spell Amplification","","","","","","","","","","","","","",""
"+12% Spell Lifesteal","","","","","","","","","","","","","",""
"+12% Time Dilation Slow per Cooldown","","","","","","","","","","","","","",""
"+120 Attack Speed","","","","","","","","","","","","","",""
"+120 Damage","","","","","","","","","","","","","",""
"+120 Gold/Min","","","","","","","","","","","","","",""
"+120 Shadowraze Damage","","","","","","","","","","","","","",""
"+120 Snowball Damage","","","","","","","","","","","","","",""
"+1200 Brewlings Health","","","","","","","","","","","","","",""
"+1200 Holy Persuasion Minimum Health","","","","","","","","","","","","","",""
"+125 Astral Imprisonment Cast Range","","","","","","","","","","","","","",""
"+125 Attack Range","","","","","","","","","","","","","",""
"+125 Cast Range","","","","","","","","","","","","","",""
"+125 Frost Blast Radius and Damage","","","","","","","","","","","","","",""
"+125 Health","","","","","","","","","","","","","",""
"+125 Maledict AoE","","","","","","","","","","","","","",""
"+125 Mana","","","","","","","","","","","","","",""
"+125 Reaper's Scythe Cast Range","","","","","","","","","","","","","",""
"+125 Sharpshooter Max Damage","","","","","","","","","","","","","",""
"+125 Shield Crash Radius and Damage","","","","","","","","","","","","","",""
"+125 Shockwave Damage","","","","","","","","","","","","","",""
"+125 Slithereen Crush Damage","","","","","","","","","","","","","",""
"+125 Spiderlings Health","","","","","","","","","","","","","",""
"+125 Sticky Bomb Latch/Explosion Radius","","","","","","","","","","","","","",""
"+125 Unstable Concoction Radius","","","","","","","","","","","","","",""
"+1250 Gold","[{'key': 'value', 'header': 'VALUE:', 'value': '1250', 'generated': True}]","/apps/dota2/images/dota_react/abilities/ad_special_bonus_gold_lvl25_r.png","Passive","","","Associated ability not drafted, have some gold!","","","","","","","",""
"+1250 Gold","[{'key': 'value', 'header': 'VALUE:', 'value': '1250', 'generated': True}]","/apps/dota2/images/dota_react/abilities/ad_special_bonus_gold_lvl25_l.png","Passive","","","Associated ability not drafted, have some gold!","","","","","","","",""
"+13 Agility","","","","","","","","","","","","","",""
"+13 Enfeeble Damage Per Second","","","","","","","","","","","","","",""
"+13 Intelligence","","","","","","","","","","","","","",""
"+13 Strength","","","","","","","","","","","","","",""
"+13% Spell Lifesteal","","","","","","","","","","","","","",""
"+130% Cleave","","","","","","","","","","","","","",""
"+135 Blood Rite Damage","","","","","","","","","","","","","",""
"+14 Agility","","","","","","","","","","","","","",""
"+14 All Stats","","","","","","","","","","","","","",""
"+14 Health Regen","","","","","","","","","","","","","",""
"+14 Intelligence","","","","","","","","","","","","","",""
"+14 Mana Regen","","","","","","","","","","","","","",""
"+14 Rocket Barrage Damage","","","","","","","","","","","","","",""
"+14 Strength","","","","","","","","","","","","","",""
"+14% Magic Resistance","","","","","","","","","","","","","",""
"+14% Spell Amplification","","","","","","","","","","","","","",""
"+140 Attack Speed","","","","","","","","","","","","","",""
"+140% Cleave","","","","","","","","","","","","","",""
"+15 Agility","","","","","","","","","","","","","",""
"+15 All Stats","","","","","","","","","","","","","",""
"+15 Arcane Curse Damage","","","","","","","","","","","","","",""
"+15 Armor","","","","","","","","","","","","","",""
"+15 Attack Speed","","","","","","","","","","","","","",""
"+15 Base Damage","","","","","","","","","","","","","",""
"+15 Damage","","","","","","","","","","","","","",""
"+15 Desolate Damage","","","","","","","","","","","","","",""
"+15 Frost Arrow Damage","","","","","","","","","","","","","",""
"+15 Health Regen","","","","","","","","","","","","","",""
"+15 Ignite DPS","","","","","","","","","","","","","",""
"+15 Intelligence","","","","","","","","","","","","","",""
"+15 Mana Break","","","","","","","","","","","","","",""
"+15 Movement Speed","","","","","","","","","","","","","",""
"+15 Sticky Napalm Damage","","","","","","","","","","","","","",""
"+15 Strength","","","","","","","","","","","","","",""
"+15 Take Aim Armor","","","","","","","","","","","","","",""
"+15 Tar Bomb Bonus Attack Damage","","","","","","","","","","","","","",""
"+15% Attack Damage as Swashbuckle Damage","","","","","","","","","","","","","",""
"+15% Bloodrage Spell Amplification","","","","","","","","","","","","","",""
"+15% Celestial Hammer Slow","","","","","","","","","","","","","",""
"+15% Cleave","","","","","","","","","","","","","",""
"+15% Concussive Shot Slow","","","","","","","","","","","","","",""
"+15% Disseminate Shared Damage","","","","","","","","","","","","","",""
"+15% Evasion","","","","","","","","","","","","","",""
"+15% Ghost Shroud Self Restoration Amp","","","","","","","","","","","","","",""
"+15% Gush Slow","","","","","","","","","","","","","",""
"+15% Illusory Armaments Damage","","","","","","","","","","","","","",""
"+15% Immaterial Evasion","","","","","","","","","","","","","",""
"+15% Infest Target Movespeed/Health","","","","","","","","","","","","","",""
"+15% Lifesteal","","","","","","","","","","","","","",""
"+15% Magic Resistance","","","","","","","","","","","","","",""
"+15% Open Wounds Slow","","","","","","","","","","","","","",""
"+15% Persecutor Max Movement Slow","","","","","","","","","","","","","",""
"+15% Poison Attack slow/damage","","","","","","","","","","","","","",""
"+15% Rum Damage Delay","","","","","","","","","","","","","",""
"+15% Shadow Poison Damage","","","","","","","","","","","","","",""
"+15% Spell Amplification","","","","","","","","","","","","","",""
"+15% Spell Lifesteal","","","","","","","","","","","","","",""
"+15% Status Resistance","","","","","","","","","","","","","",""
"+15% Tether Enemy Move/Attack Slow","","","","","","","","","","","","","",""
"+15% XP Gain","","","","","","","","","","","","","",""
"+150 Attack Range","","","","","","","","","","","","","",""
"+150 Burrowstrike Cast Range","","","","","","","","","","","","","",""
"+150 Cast Range","","","","","","","","","","","","","",""
"+150 Cursed Crown AoE","","","","","","","","","","","","","",""
"+150 Damage","","","","","","","","","","","","","",""
"+150 Demonic Purge/Cleanse Damage/Heal","","","","","","","","","","","","","",""
"+150 Elder Dragon Form Attack Range","","","","","","","","","","","","","",""
"+150 Gold/Min","","","","","","","","","","","","","",""
"+150 Health","","","","","","","","","","","","","",""
"+150 Health / +25 Damage  for Enchantress and her units","","","","","","","","","","","","","",""
"+150 Infest Damage","","","","","","","","","","","","","",""
"+150 Ink Swell Radius","","","","","","","","","","","","","",""
"+150 Leap Distance","","","","","","","","","","","","","",""
"+150 Light Strike Array Damage","","","","","","","","","","","","","",""
"+150 Mana","","","","","","","","","","","","","",""
"+150 Nether Swap Enemy Damage","","","","","","","","","","","","","",""
"+150 Savage Roar Radius","","","","","","","","","","","","","",""
"+150 Shadow Word AoE","","","","","","","","","","","","","",""
"+150 Solar Guardian Radius","","","","","","","","","","","","","",""
"+150 Static Storm Radius","","","","","","","","","","","","","",""
"+150 Telekinesis Landing Damage","","","","","","","","","","","","","",""
"+150% Cleave","","","","","","","","","","","","","",""
"+150% Crit On Targets Affected By Spells","","","","","","","","","","","","","",""
"+15s Fury Swipes Reset Time","","","","","","","","","","","","","",""
"+15s Spirit Form Duration","","","","","","","","","","","","","",""
"+16 Agility","","","","","","","","","","","","","",""
"+16 Damage","","","","","","","","","","","","","",""
"+16 Health Regen","","","","","","","","","","","","","",""
"+16 Intelligence","","","","","","","","","","","","","",""
"+16 Magnetic Field Attack Speed/Bonus Damage","","","","","","","","","","","","","",""
"+16 Strength","","","","","","","","","","","","","",""
"+16% Evasion","","","","","","","","","","","","","",""
"+16% Spell Amplification","","","","","","","","","","","","","",""
"+16% Vengeance Aura Base Damage Bonus","","","","","","","","","","","","","",""
"+160 Attack Speed","","","","","","","","","","","","","",""
"+160 Damage","","","","","","","","","","","","","",""
"+160 Nether Blast Damage","","","","","","","","","","","","","",""
"+160 Purification Damage/Heal","","","","","","","","","","","","","",""
"+160 Serpent Wards Attack Range","","","","","","","","","","","","","",""
"+165 Flame Guard Barrier Amount","","","","","","","","","","","","","",""
"+16s Morph Duration","","","","","","","","","","","","","",""
"+17% Arctic Burn Slow","","","","","","","","","","","","","",""
"+17% Greater Bash Chance","","","","","","","","","","","","","",""
"+170 Shackles Total Damage","","","","","","","","","","","","","",""
"+170 Sprout Damage","","","","","","","","","","","","","",""
"+175 Attack Range","","","","","","","","","","","","","",""
"+175 Attack Speed","","","","","","","","","","","","","",""
"+175 Cast Range","","","","","","","","","","","","","",""
"+175 Health","","","","","","","","","","","","","",""
"+175 Mana","","","","","","","","","","","","","",""
"+175% Cleave","","","","","","","","","","","","","",""
"+18 Damage","","","","","","","","","","","","","",""
"+18 Strength","","","","","","","","","","","","","",""
"+18% Leech Seed Movement Slow","","","","","","","","","","","","","",""
"+18% Lifesteal","","","","","","","","","","","","","",""
"+18% Max Thirst MS","","","","","","","","","","","","","",""
"+18% Spell Amplification","","","","","","","","","","","","","",""
"+180 Gold/Min","","","","","","","","","","","","","",""
"+1s Impalement Arts Bleed and Slow Duration","","","","","","","","","","","","","",""
"+1s Omnislash Duration","","","","","","","","","","","","","",""
"+1s Repel Duration","","","","","","","","","","","","","",""
"+1s Searing Chains Duration","","","","","","","","","","","","","",""
"+1s Storm Hammer Stun Duration","","","","","","","","","","","","","",""
"+1s Take Aim Duration","","","","","","","","","","","","","",""
"+1s Wraithfire Blast Stun Duration","","","","","","","","","","","","","",""
"+1x Brewed Up multiplier for Drunken Brawler","","","","","","","","","","","","","",""
"+2 Armor","","","","","","","","","","","","","",""
"+2 Bedlam Attack Targets","","","","","","","","","","","","","",""
"+2 Cask Bounces","","","","","","","","","","","","","",""
"+2 Chaos Meteors","","","","","","","","","","","","","",""
"+2 Cold Feet Death Rime Stacks","","","","","","","","","","","","","",""
"+2 Damage Per Soul","","","","","","","","","","","","","",""
"+2 Damage per Greevil's Greed stack","","","","","","","","","","","","","",""
"+2 Healing Ward Hits to Kill","","","","","","","","","","","","","",""
"+2 Living Armor Heal Per Second","","","","","","","","","","","","","",""
"+2 Mana Regen","","","","","","","","","","","","","",""
"+2 Multishot Sacred Arrows","","","","","","","","","","","","","",""
"+2 Nether Ward Health","","","","","","","","","","","","","",""
"+2 Power Cogs Hit To Kill","","","","","","","","","","","","","",""
"+2 Spin Web Simultaneous Webs","","","","","","","","","","","","","",""
"+2 Supernova Hit Count","","","","","","","","","","","","","",""
"+2 Swarm Attacks to Kill","","","","","","","","","","","","","",""
"+2 Wolves Summoned","","","","","","","","","","","","","",""
"+2% Astral Spirit Move Speed Per Hero","","","","","","","","","","","","","",""
"+2% Target Max Health Voodoo Restoration Heal","","","","","","","","","","","","","",""
"+2% Wild Axes Damage Amp Per Stack","","","","","","","","","","","","","",""
"+2.0s Flux Duration","","","","","","","","","","","","","",""
"+2.5 Mana Regen","","","","","","","","","","","","","",""
"+2.5% Infernal Blade Max HP As Damage","","","","","","","","","","","","","",""
"+2.5s Phantom Rush Bonus Agility Duration","","","","","","","","","","","","","",""
"+2/0.01 Dumb Luck Mana/Mana Regen Per Strength","","","","","","","","","","","","","",""
"+20 Agility","","","","","","","","","","","","","",""
"+20 All Stats","","","","","","","","","","","","","",""
"+20 Armor","","","","","","","","","","","","","",""
"+20 Attack Speed","","","","","","","","","","","","","",""
"+20 Base Damage","","","","","","","","","","","","","",""
"+20 Chaotic Offering Golems Armor","","","","","","","","","","","","","",""
"+20 Corrosive Skin Attack Speed Slow","","","","","","","","","","","","","",""
"+20 Corrosive Skin Damage Per Second","","","","","","","","","","","","","",""
"+20 Crippling Fear DPS","","","","","","","","","","","","","",""
"+20 Damage","","","","","","","","","","","","","",""
"+20 Diabolic Edict Explosions","","","","","","","","","","","","","",""
"+20 Finger of Death Damage Per Kill","","","","","","","","","","","","","",""
"+20 Fire Spirits Damage Per Second","","","","","","","","","","","","","",""
"+20 Health Regen","","","","","","","","","","","","","",""
"+20 Icarus Dive Damage Per Second","","","","","","","","","","","","","",""
"+20 Intelligence","","","","","","","","","","","","","",""
"+20 Macropyre Damage","","","","","","","","","","","","","",""
"+20 Mana Break","","","","","","","","","","","","","",""
"+20 Mortimer Kisses Debuff DPS","","","","","","","","","","","","","",""
"+20 Movement Speed","","","","","","","","","","","","","",""
"+20 Movespeed Aura to Beastmaster and his units","","","","","","","","","","","","","",""
"+20 Quill Stack Damage","","","","","","","","","","","","","",""
"+20 Refraction Damage","","","","","","","","","","","","","",""
"+20 Starbreaker Swipe/Smash Damage","","","","","","","","","","","","","",""
"+20 Strength","","","","","","","","","","","","","",""
"+20 Zombie Damage","","","","","","","","","","","","","",""
"+20% 1.5s Bash","","","","","","","","","","","","","",""
"+20% Backtrack Chance","","","","","","","","","","","","","",""
"+20% Cleave","","","","","","","","","","","","","",""
"+20% Critical Strike (150%)","","","","","","","","","","","","","",""
"+20% Critical Strike (200%)","","","","","","","","","","","","","",""
"+20% Damage Reduction during Pulse Nova","","","","","","","","","","","","","",""
"+20% Enfeeble Cast Range Reduction","","","","","","","","","","","","","",""
"+20% Enrage Status Resistance","","","","","","","","","","","","","",""
"+20% Evasion","","","","","","","","","","","","","",""
"+20% Ghost Shroud Movement Slow","","","","","","","","","","","","","",""
"+20% God's Strength Slow Resistance","","","","","","","","","","","","","",""
"+20% Gunslinger chance","","","","","","","","","","","","","",""
"+20% Life Break Damage","","","","","","","","","","","","","",""
"+20% Life Drain Heal","","","","","","","","","","","","","",""
"+20% Lifesteal","","","","","","","","","","","","","",""
"+20% Magic Resistance","","","","","","","","","","","","","",""
"+20% Plasma Field Max Slow","","","","","","","","","","","","","",""
"+20% Powershot Slow","","","","","","","","","","","","","",""
"+20% Ruin and Restoration Spell Lifesteal","","","","","","","","","","","","","",""
"+20% Sidekick Damage","","","","","","","","","","","","","",""
"+20% Spell Amplification","","","","","","","","","","","","","",""
"+20% Spell Lifesteal","","","","","","","","","","","","","",""
"+20% Status Resistance","","","","","","","","","","","","","",""
"+20% Stifling Dagger Damage","","","","","","","","","","","","","",""
"+20% Torrent Damage/Knock Up Duration","","","","","","","","","","","","","",""
"+20% Trample Attack Multiplier","","","","","","","","","","","","","",""
"+20% Wall of Replica Illusion Damage","","","","","","","","","","","","","",""
"+20% Wards Attack Damage","","","","","","","","","","","","","",""
"+20% XP Gain","","","","","","","","","","","","","",""
"+20.0 Overload Damage","","","","","","","","","","","","","",""
"+200 Attack Range","","","","","","","","","","","","","",""
"+200 Attack Speed","","","","","","","","","","","","","",""
"+200 Avalanche Cast Range","","","","","","","","","","","","","",""
"+200 Blast Off! Damage","","","","","","","","","","","","","",""
"+200 Blink Cast Range","","","","","","","","","","","","","",""
"+200 Cast Range","","","","","","","","","","","","","",""
"+200 Chakra Magic Mana","","","","","","","","","","","","","",""
"+200 Chronosphere AoE","","","","","","","","","","","","","",""
"+200 Damage","","","","","","","","","","","","","",""
"+200 Escape Act Cast Range","","","","","","","","","","","","","",""
"+200 Fissure Range","","","","","","","","","","","","","",""
"+200 Flux Cast Range","","","","","","","","","","","","","",""
"+200 Heal On Shallow Grave End","","","","","","","","","","","","","",""
