"","hero_name","hero_id","has_scepter","scepter_desc","scepter_skill_name","scepter_new_skill","has_shard","shard_desc","shard_skill_name","shard_new_skill"
32,"npc_dota_hero_tinker",34,True,"Upgrades Tinker's Laser into a Shrink Ray, reducing the main target's size, current health, and maximum health by 10% (stacking). The laser bounces once on the farthest target up to 700 range from the primary one, prioritizing heroes.","Laser",False,True,"Throws a flare towards an enemy, dealing damage, teleporting them away, rooting them and reducing their Cast and Attack Range for 2 seconds.

 The teleport location is always the ability's current cast range + 100 from Tinker's position when he threw the flare.","Warp Flare",True
33,"npc_dota_hero_sniper",35,True,"Causes Assassinate to fire quicker and stun the enemy target.","Assassinate",False,True,"Launches a grenade at the target area, dealing damage to enemies and knocking them and Sniper himself back. Enemies affected are disarmed and have their movement slowed after the knockback.","Concussive Grenade",True
34,"npc_dota_hero_necrolyte",36,True,"Heartstopper Aura's Health Decay is increased by 50% of Necrophos's current health regeneration.","Heartstopper Aura",False,True,"Necrophos turns into a large Death Pulse towards the target unit's position. Once it arrives to the location, the Death Pulse spreads towards nearby enemies and allies.","Death Seeker",True
35,"npc_dota_hero_warlock",37,True,"Calls 2 Golems.","Chaotic Offering",False,True,"Increases the power of all imps summoned by Warlock.","Eldritch Summoning",False
36,"npc_dota_hero_beastmaster",38,True,"Attacks from Beastmaster or a nearby unit he controls will cause him bang his drum, dealing damage to nearby units and  healing Beastmaster and units under his control for a portion of the damage dealt. Every attack decreases the interval between drum hits down to a minimum of 0.5s between hits after 20 attacks. If no attacks are made, the intervals gradually increase.

Using Primal Roar counts as 10/15/20 attacks, based on the current level of Primal Roar.","Drums of Slom",True,True,"Reduces Hawk cooldown by 10s and summons an additional Hawk.","Call of the Wild Hawk",False
37,"npc_dota_hero_queenofpain",39,True,"Causes Shadow Strike to become a 375 AoE Spell, and have increased initial damage. When Shadow Strike ends or is re-applied to an enemy Hero, the target emits a Scream of Pain, hitting any nearby enemies.","Shadow Strike",False,True,"Releases a sonic boom when Queen of Pain blinks, at both her starting and ending locations. Deals 125 damage in a 300 AoE and silences the target for 1.75 seconds.","Blink",False
38,"npc_dota_hero_venomancer",40,True,"Increases base damage per debuff. Plague Wards also deal Septic Shock damage based on their attack damage.","Septic Shock",False,True,"If Venomous Gale is dispelled in any way, the target will receive 300 damage and be stunned for 1.6 seconds.","Venomous Gale",False
39,"npc_dota_hero_faceless_void",41,True,"Applies a Time Lock to all units at the landing destination.","Time Walk",False,True,"Available for 1.5 seconds after landing Time Walk. If used in this period, you will reverse your time walk back to your previous cast location. Does not affect health or proc scepter hits.","Reverse Time Walk",True
40,"npc_dota_hero_skeleton_king",42,True,"Reduces cooldown.","Reincarnation",False,True,"Causes Reincarnation to have no mana cost.","Reincarnation",False
41,"npc_dota_hero_death_prophet",43,True,"Whenever an enemy is affected by Death Prophet's spells or when she attacks an enemy, a ghost will fly out, slow and hit the enemy for an increased bonus of its usual damage then return to her with life.","Exorcism",False,True,"Increases Spirit Siphon charges by 1 and causes enemies to be feared for 1.0 seconds if they are siphoned for 3 seconds consecutively.","Spirit Siphon",False
42,"npc_dota_hero_phantom_assassin",44,True,"Causes Blur to have instant cast time and applies a dispel. Any time Phantom Assassin gets a hero kill, her abilities are refreshed. Reduces cooldown.","Blur",False,True,"Phantom Assassin releases sharp blades around her, dealing a percentage of each victim's max health on impact and applying Break.","Fan of Knives",True
43,"npc_dota_hero_pugna",45,True,"Reduces cooldown by 3.5s. When targeting an enemy hero, Pugna reduces their outgoing spell damage by 8% per second up to a maximum of 75% and increases his own, up to a maximum of 100%. When draining through a Nether Ward using Shard, the rate of increase/decrease is 4% instead. Debuff lasts 8 seconds.","Life Drain",False,True,"Life Drain can target your Nether Ward, causing life drain to refract to all enemy heroes within 700 units of the ward for 75% of its normal value. The effect is interrupted if the ward is destroyed.","Life Drain",False
44,"npc_dota_hero_templar_assassin",46,True,"CHANNELED - Allows Templar Assassin to teleport to any Psionic Trap after channeling for 2 seconds, detonating it upon arrival as if it was fully charged and instantly dealing 300 bonus damage. Channeling Psionic Projection does not break Meld.","Psionic Projection",True,True,"Increases max trap count and trap vision range.  When activated, traps now silence affected enemies.","Psionic Trap",False
45,"npc_dota_hero_viper",47,True,"Viper slams into the ground, splattering each enemy in a 500 AoE for 4 seconds with the effect of Corrosive Skin.","Nosedive",True,True,"Increases max stacks, and causes Poison Attack to lower armor per stack and to affect buildings for reduced damage.","Poison Attack",False
46,"npc_dota_hero_luna",48,True,"Allows Luna to cast Eclipse on an allied unit or herself and have its effects follow them, or cast it on an area. Increases total beams, reduces duration, removes the limit on beams per unit, and makes the beams appear twice as fast.","Eclipse",False,True,"Increases collision damage. Glaives rotate 50% faster.","Lunar Orbit",False
47,"npc_dota_hero_dragon_knight",49,True,"Increases the level of Dragon Form by adding a Level 4 Black Dragon, that increases damage, and effectiveness of the Wyrm's Wrath attacks.","Elder Dragon Form",False,True,"Ignites an area, dealing damage over time that lingers on enemies in it. Has reduced cast range when melee.","Fireball",True
48,"npc_dota_hero_dazzle",50,True,"Shadow Wave can now target and bounce between enemies in addition to allies. When bouncing to an enemy, they will take damage and heal nearby allies equal to 150% of the normal healing and damage values. Dazzle will also perform an attack against any enemy that Shadow Wave bounces to.","Shadow Wave",False,True,"Causes Poison Touch to hex affected targets for 1.6 seconds.","Poison Touch",False
49,"npc_dota_hero_rattletrap",51,True,"Supercharges Clockwerks abilities: Battery Assault affects all enemies in its range; Clockwerk's attack speed in Power Cogs is increased; Rocket Flares have a reduced cooldown and fire additional rockets to either side of the target; Hookshot stun radius and duration is increased; Jetpack moves faster. Clockwerk's movement and attack speed becomes slowed to a crawl after the duration runs out.","Overclocking",True,True,"Clockwerk activates a jetpack, gaining flying movement, flying vision, and bonus movement speed. Clockwerk has a severely-limited turn rate during this time and cannot attack. Jetpack is cancelled upon casting Hookshot.","Jetpack",True
50,"npc_dota_hero_leshrac",52,True,"Causes Leshrac and all nearby enemies to turn ethereal, preventing them from attacking, slowing them, and making them take more magic damage. Increases Leshrac's speed rather than reducing it. Does not cause Leshrac to take amplified damage.","Nihilism",True,True,"Causes Split Earth to repeat in the same location 3 additional times, with a 5 second delay between each one. Each time the radius increases by 45. Split Earth echo location is visible to both teams.","Split Earth",False
51,"npc_dota_hero_furion",53,True,"Lowers cooldown by 25s. Entangles all enemies it hits. Duration scales from 1.5s up to 3.0s seconds at max bounce.","Wrath of Nature",False,True,"Applies a curse on all enemy heroes within 1200 range, displaying them in fog, slowing them, and causing damage over time based on the number of trees within 250 radius. Treants count as trees for this purpose.","Curse of the Oldgrowth",True
52,"npc_dota_hero_life_stealer",54,True,"Increases cast range and reduces cooldown to =20s.  Infest may target enemy heroes for a short duration, disarming them and attacking them from the inside while increasing Lifestealer's regeneration rate.","Infest",False,True,"Infest explosion applies a 50% duration Open Wounds to enemies in the damage radius.","Infest",False
53,"npc_dota_hero_dark_seer",55,True,"Passive ability. Causes Dark Seer's next attack on a hero to have True Strike, knock a replica out of the victim, damaging and stunning them based on how far Dark Seer has moved in the past 3.0 seconds. Max power is reached after 1100 distance moved.","Normal Punch",True,True,"Surged units leave behind a 150 radius trail that lasts 7s, slows enemies around it by -50% and deals 40 damage per second in 0.5s intervals. Can be put on alt-cast to disable the trail.","Surge",False
54,"npc_dota_hero_clinkz",56,True,"Increases Skeleton Archer health.","Bone and Arrow",False,True,"CHANNELED - Clinkz channels and shoots multiple piercing arrows in the target direction that hit all enemy units dealing a percentage of Clinkz' attack damage and applying attack modifiers, and dousing enemies with Tar Bomb slow.","Burning Barrage",True
55,"npc_dota_hero_omniknight",57,True,"Guardian Angel has global cast range, increased radius, and affects buildings. Amplifies health regeneration and incoming heals for the duration.","Guardian Angel",False,True,"After a 3s delay, the target is Purified again with 65% effectiveness.","Purification",False
56,"npc_dota_hero_enchantress",58,True,"Enchantress roots an enemy unit. All creeps, ally, enemy and neutral within a radius will gain bonus movement and attack speed and attack the chosen target for 6 seconds.","Little Friends",True,True,"Leaps backward, dodges incoming projectiles, and launches an Impetus attack on the 2 furthest enemy units within Enchantress' attack range + 100.","Sproink",True
57,"npc_dota_hero_huskar",59,True,"Forces the enemy target to attack Huskar and increases cast range.","Life Break",False,True,"Lowers Inner Fire cooldown and causes it to apply a movement speed slow and heal Huskar for a percentage of the damage dealt to enemies.","Inner Fire",False
58,"npc_dota_hero_night_stalker",60,True,"Reduces cooldown of Crippling Fear and it becomes a toggled ability that takes a percentage of max mana per second to maintain after the initial duration time.","Crippling Fear",False,True,"Hunter in the Night may be cast on a creep, instantly killing it and restoring some of Night Stalker's maximum health and mana. Cannot target ancients during the daytime.","Hunter in the Night",False
59,"npc_dota_hero_broodmother",61,True,"Broodmother may create up to 5 invisible web lines touching any existing web. Enemy Heroes that cross the web line will spring the trap, becoming rooted, revealed in fog, and take damage over time.  Multiple Heroes can trip on the same line until it's destroyed after being initially triggered.  Broodmother's team is alerted via the minimap when an enemy has triggered the snare.","Spinner's Snare",True,True,"Increases duration. While Hunger is active, the bonus damage is increased by 4% every 1s.","Insatiable Hunger",False
60,"npc_dota_hero_bounty_hunter",62,True,"Increases cast range and applies Jinada on hit.","Shuriken Toss",False,True,"Applies Shadow Walk and all of its bonuses to the target ally. Allied fade time is 1.0s. Does not break Bounty Hunter's invisibility when cast.","Friendly Shadow",True
61,"npc_dota_hero_weaver",63,True,"Time Lapse may target allied Heroes with 500 cast range.","Time Lapse",False,True,"Shukuchi puts a mark on enemies it damages that last 4.6 seconds. 0.2s after Weaver exits Shukuchi, enemies with a mark within 1200 range will also be attacked with a secondary Geminate attack ","Shukuchi",False
62,"npc_dota_hero_jakiro",64,True,"Increases Macropyre duration, width and causes it to deal Pure damage. Jakiro emits two walls of ice along the edges of the Macropyre that slow any enemies trying to cross them by 60%.","Macropyre",False,False,"","",False
63,"npc_dota_hero_batrider",65,True,"Flaming Lasso grabs both its target, as well as the target's nearest allied hero within 650 units. The secondary target is tethered to the first.","Flaming Lasso",False,True,"Flaming Lasso no longer disarms you.","Flaming Lasso",False
64,"npc_dota_hero_chen",66,True,"HP Regen Aura becomes global and affects all allied units.","Divine Favor",False,True,"Allows Holy Persuasion to target Ancient creeps. Can control up to 1/2/3 Ancient creeps based on Hand of God's level. Additionally levels up some abilities of creeps by 1 level.","Holy Persuasion",False
65,"npc_dota_hero_spectre",67,True,"Creates a spectral nemesis to attack each enemy hero. Illusions spawned from this ability follow the same rules as Shadow Step illusions and can also be swapped to by using Reality.","Haunt",True,True,"Dispersion can be activated to increase the amount absorbed and reflected by Dispersion by 50% of its base values for 5s. Cooldown 25. Manacost 50.","Dispersion",False
66,"npc_dota_hero_ancient_apparition",68,True,"Removes cooldown and reduces manacost by 50%.","Chilling Touch",False,True,"Freezes enemies hit with the current level of Cold Feet for 60% of the duration.","Ice Blast",False
67,"npc_dota_hero_doom_bringer",69,True,"Allies in a 300 radius around the doomed target also suffer the effects of Doom. Allows Doom to be self-cast to affect enemies around himself with Doom.","Doom",False,True,"Heals Doom and his controlled units for 60% of the damage dealt.","Scorched Earth",False
68,"npc_dota_hero_ursa",70,True,"Reduces cooldown and allows Ursa to use Enrage while disabled.","Enrage",False,True,"Earthshock applies a 1.4 second Enrage on Ursa when cast.","Earthshock",False
69,"npc_dota_hero_spirit_breaker",71,True,"Barathrum distorts the fabric of planar space, increasing his own magic resistance and redirecting enemy hero spells in a radius towards him.","Planar Pocket",True,True,"Increases Charge of Darkness Bonus Speed by 100.","Charge of Darkness",False
70,"npc_dota_hero_gyrocopter",72,True,"Adds a Side Gunner that at random attacks enemy units near Gyrocopter. When Flak Cannon is active, side gunner attacks 2 units instead. Prioritizes furthest unit away within its range.","Flak Cannon",False,True,"Homing Missiles now constantly fires the current level of Rocket Barrage in a 700 area of effect after 1.0 second of being cast. This Rocket Barrage prioritizes the Homing Missile target.","Homing Missile",False
71,"npc_dota_hero_alchemist",73,True,"Alchemist melts down Aghanim's Scepter to grant an allied hero all Aghanim's Scepter upgrades. Alchemist will gain bonus damage and spell amplification for each gifted Scepter.","Chemical Rage",False,True,"Alchemist throws a potion at an ally, applying a basic dispel and giving them attack speed, movement speed and HP regen.

DISPEL TYPE: Basic Dispel","Berserk Potion",True
72,"npc_dota_hero_invoker",74,True,"Creates a Cataclysm when Sun Strike is double tapped. Puts it on a 100 second cooldown. Creates 2 visible Sun Strikes within %cataclysm_min_range%-%cataclysm_max_range% range of each enemy hero. Additionally Increases the level of Quas, Wex and Exort by 1.","Sun Strike",False,True,"Increases damage for each point of mana drained by EMP and pulls enemy units into the EMP's center at 175 units per second.","E.M.P.",False
73,"npc_dota_hero_silencer",75,True,"Global Silence applies Arcane Curse to heroes.","Global Silence",False,True,"Increases the Intelligence stolen per kill to 3.","Brain Drain",False
74,"npc_dota_hero_obsidian_destroyer",76,True,"Damage that would bring Outworld Destroyer below 20% health triggers a strong dispel. In addition, when the effect is triggered Outworld Destroyer consumes of all his mana to create an all damage barrier equal to 65% of his maximum mana that lasts for 15 seconds. This effect can occur every 80 seconds and cannot be refreshed.","Essence Flux",False,True,"Astral Imprisonment now deals damage in an area. Also allows allies to move at 70% movement speed during Astral Imprisonment (they are visible, but untargettable and can't perform any other actions).","Astral Imprisonment",False
75,"npc_dota_hero_lycan",77,True,"Lycan bites an ally, granting them Shapeshift properties. Lycan and the bitten target gain 40% Lifesteal and share the healing effect of Lifesteal with each other as long as they are within 1200 range of each other.","Wolf Bite",True,True,"Causes one of your creep waves to include one uncontrollable wolf that moves with the wave. Additionally, wolves spawned this way may Cripple towers.","Summon Wolves",False
76,"npc_dota_hero_brewmaster",78,True,"Creates a Brewling based on Brewmaster's current Drunken Brawler Stance.

A new Brewling cannot be resummoned for 3s if the current one takes damage from enemy Heroes or hero-controlled units. If the Brewling dies, the ability goes on cooldown for 70 seconds.

Only one Brewling can exist at a time. If Brewmaster uses Primal Split, the existing Brewling disappears.","Primal Companion",True,True,"Increases Primal Split duration and allows it to be cancelled early.","Primal Split",False
77,"npc_dota_hero_shadow_demon",79,True,"Cooldown is removed, replaced with 2 charges that replenish every 60 seconds. Also causes Demonic Purge to break its target's passive abilities while active.","Demonic Purge",False,True,"Cleanses the target allied unit, removing negative buffs for the duration.  At the end of the duration, the unit is healed. Units under the effect of Disruption can still be affected by Demonic Cleanse.

DISPEL TYPE: Basic Dispel","Demonic Cleanse",True
78,"npc_dota_hero_lone_druid",80,True,"Lone Druid severs his link to his Spirit Bear, and connects to the target allied hero, sharing the Spirit Link bonuses with them for 20s. Armor sharing and attack speed are increased by 35%. Damage done by the ally heals Lone Druid, as well as the other way around.

 The Spirit Bear is feared for the duration of the transformation, unless he has his own Aghanim's Scepter.","Spirit Link",False,True,"Applies a basic dispel and grants allies in an area around the caster bonus movement and attack speed. Replicates between Lone Druid and Spirit Bear regardless of castability on the other.

DISPEL TYPE: Basic Dispel","Savage Roar",False
79,"npc_dota_hero_chaos_knight",81,True,"Creates an illusion of allied heroes globally. Creates an additional illusion for Chaos Knight as well.","Phantasm",False,True,"Causes Chaos Bolt to create a Phantasm illusion to attack the target. This illusion deals =30% less damage.","Chaos Bolt",False
80,"npc_dota_hero_meepo",82,True,"In MegaMeepo form, Meepo flings the topmost meepo towards a target within a %AbilityCastRange% range, dealing damage and slowing their movement speed.","MegaMeepo Fling",True,True,"Digs into the ground for a short duration, dispelling Meepo and causing him to become invulnerable and untargetable for 3s. Restores 25% of his max health over that duration.

DISPEL TYPE: Basic Dispel","Dig",True
81,"npc_dota_hero_treant",83,True,"Treant Protector enchants a tree, which grants him unobstructed vision in that location. If Overgrowth is cast, units within a radius of an enchanted tree will be entangled and damaged. Passively causes all trees to respawn much faster.","Eyes In The Forest",True,True,"Causes Treant to become invisible with Nature's Guise and root enemies upon attacking. Deals damage over time and roots for longer if the attack was near a tree. Total damage equals 100 + %attack_damage_pct% of Treant's Base Attack Damage.","Nature's Guise",False
82,"npc_dota_hero_ogre_magi",84,True,"Blasts an enemy unit with a wave of fire, dealing 150 + 1.5x Ogre's Strength in damage and stunning the target. Its mana cost is 35% of Ogre Magi's current mana.","Unrefined Fireblast",True,True,"Creates a shield around the target ally, absorbing a percentage of the damage of next 3 attacks from enemy heroes. When damage is absorbed, a fireball is launched at the attacker. Can be cast on towers.","Fire Shield",True
83,"npc_dota_hero_undying",85,True,"Increases strength steal.","Decay",False,True,"Tombstone can be cast on an allied hero to bunker inside of the tombstone. Heroes that enter the Tombstone cannot leave for 2 seconds nor can they re-enter after leaving. If the tombstone is destroyed with a hero inside, that hero gets stunned for 2 seconds.","Tombstone",False
84,"npc_dota_hero_rubick",86,True,"Increases the number of spells that can be stolen to 2. Increases cast range, and upgrades spells to their Scepter version.","Spell Steal",False,True,"Allows you to target yourself or allies with Telekinesis. Throw range is 35% longer and throw delay is reduced to 0.5 seconds.","Telekinesis",False
85,"npc_dota_hero_disruptor",87,True,"Mutes items.","Static Storm",False,True,"Increases the cast range and strike count of Thunder Strike. It can now also be ground targeted, where it will lie dormant for up to 5 seconds and attach to the first enemy that comes within the radius.","Thunder Strike",False
86,"npc_dota_hero_nyx_assassin",88,True,"Nyx Assassin buries himself beneath the battlefield over a short duration. Once burrowed, Spiked Carapace instantly stuns nearby enemies when cast, the range of Mind Flare and Impale is increased, and Impale's cooldown is decreased. While burrowed, Nyx Assassin is stationary, unable to attack, and invisible. Nyx gains damage reduction from all damage sources.","Burrow",True,True,"Vendetta applies Break on attack.","Vendetta",False
